Industry ,Employment 
Construction,"16,140"
Manufacturing,"7,100"
Utilities,"1,960"
Wholesale Trade,"6,990"
Retail Trade,"32,330"
Transportation and Warehousing,"20,950"
Information,"17,120"
Finance and Insurance,"66,290"
Real Estate and Rental and Leasing,"14,010"
Professional and Technical Services,"78,360"
Management of Companies and Enterprises,"6,940"
Administrative and Waste Services,"36,540"
Educational Services,"53,040"
Health Care and Social Assistance,"139,180"
"Arts, Entertainment, and Recreation","10,790"
Accommodation and Food Services,"73,790"
"Other Services, Ex. Public Admin","20,730"
Public Administration,"22,530"
Public Adminstration - Local,"12,250"